X,Y
0.09741002549170004,-0.14990828755046778
0.0010657566372757215,-0.15223820592484535
0.04117038698649232,0.013095339087293429
-0.06015902158652673,-0.09324942072942333
-0.08658662897978298,-0.11671727335002294
-0.10071256122923394,-0.11176990105234545
-0.08336021429062326,-0.12022860196805182
-0.06136971508625608,-0.031163413400829877
-0.043666572602803745,-0.029037413177538326
0.002839743954585654,-0.19704027384310605
-0.09289099667817008,-0.05482707292265304
-0.06288845636383841,-0.016224794054029393
-0.034811396099610065,-0.08015754011954955
-0.0061560869235046615,-0.03168799394543076
-0.049044824780373954,0.00018365929274285627
0.10468577206951411,-0.0006380877048235194
0.13479338503658464,-0.1300734285186929
-0.0058621390283401615,0.006381476129802915
-0.09214202481262286,-0.025511433715234552
0.05119117538728134,-0.17944962227409625
0.006432196968970749,0.0183398817041882
-0.06052386217233794,0.011655462010142174
0.02064746133404183,0.030463941044508155
-0.00011033685968517753,-0.09819013327726397
-0.07673862870193537,-0.02145048488770075
-0.07825499620734731,-0.0966151045292387
0.01707654616353932,-0.16246050746485852
0.14372826105224734,-0.04288108859789728
0.05346918888883927,-0.14338473087523554
-0.08142621772439644,-0.055418142551968676
0.042459904923401785,-0.20154936655929587
0.07120141668660511,0.026735723745688104
0.07380655173086989,-0.14270981993371779
0.13407997681970082,-0.0856099537993553
0.13295018448365195,-0.0495344434822331
-0.06201999968030001,-0.01673097832191855
0.1124769982820244,-0.0173586045348235
0.026241532422970188,-0.11839192775727304
-0.00874036655823793,-0.15137763348685312
0.0946731452707545,-0.11413716062287683
-0.027019266792570513,-0.014701340636086255
-0.07972260505936248,-0.0537629799225359
0.10588668060834606,-0.135541713090293
-0.090979405121035,-0.060732042770543865
-0.004945522649826525,-0.14454234057240356
-0.10070874204131405,-0.06663139427536942
0.017974855633417157,-0.0721855218991939
0.006948260192600956,-0.008163471727043872
0.08967985205350248,-0.0339271735022608
-0.044055631333548666,-0.014446558342470757
-0.003163230466121234,0.02478629797513257
-0.03164082470159716,0.006833291204468668
0.13240862536666084,-0.03166853993632971
0.038854682188104665,-0.03103810809898776
-0.06786484720806718,-0.11588691370347354
0.032918228476371325,-0.17595064762573498
0.026285766050464482,-0.1652471160121334
0.022373303550965118,0.0016389756507225687
0.1016564302018943,-0.019861578125988703
0.09934520190259495,-0.09647431381629028
0.0197645467798714,0.03815801906693718
0.0747693429757411,-0.09823867847762376
0.038102513335398706,-0.12514285078873166
0.026543465836721174,-0.04008024153640557
0.05767599406615384,-0.18558461110105673
0.01608606868846749,-0.19779190260149973
0.03008741918213216,-0.0221716396020957
0.012985895684545636,-0.11231421220302565
0.08236339134505136,-0.03752183668402369
-0.06173815821091137,-0.08272099260611832
0.0761515955808108,-0.12735253574408745
0.06956728853059257,-0.17511166448850768
0.056059368888991656,-0.15648734212417617
0.11273686777747456,-0.14796134156910803
0.08064225884146069,-0.15170911729053063
0.01355645938841409,-0.19245146130661595
0.05193447832057847,-0.18558050259632933
-0.03229096502013612,-0.17031608667001483
-0.0043560895480532534,0.008934814708519794
-0.07081436637121645,-0.14003228613712876
0.13348991932876395,-0.1015868586818315
