x,y,zone
-0.024454270415289303,-0.15904829165048384,A
-0.005564903789150645,-0.15904829165048384,A
-0.015009587102219975,-0.1496036083374145,A
-0.024454270415289303,-0.14015892502434518,A
-0.015009587102219975,-0.16849297496355317,B
-0.005564903789150645,-0.16849297496355317,B
0.0038797795239186843,-0.16849297496355317,B
-0.03389895372835863,-0.15904829165048384,B
0.0038797795239186843,-0.15904829165048384,B
0.013324462836988014,-0.15904829165048384,B
0.069992562715404,-0.1496036083374145,B
-0.015009587102219975,-0.14015892502434518,B
0.07943724602847332,-0.14015892502434518,B
0.08888192934154265,-0.14015892502434518,B
-0.04334363704142796,-0.13071424171127585,B
-0.03389895372835863,-0.13071424171127585,B
-0.024454270415289303,-0.13071424171127585,B
0.09832661265461198,-0.13071424171127585,B
0.09832661265461198,-0.12126955839820651,B
0.10777129596768131,-0.12126955839820651,B
0.069992562715404,-0.007933358641374554,B
0.07943724602847332,-0.007933358641374554,B
0.032213829463126675,0.0015113246716947758,B
0.041658512776196005,0.0015113246716947758,B
0.051103196089265335,0.0015113246716947758,B
0.060547879402334664,0.0015113246716947758,B
0.069992562715404,0.0015113246716947758,B
0.022769146150057346,0.010956007984764106,B
0.051103196089265335,0.010956007984764106,B
0.060547879402334664,0.010956007984764106,B
-0.024454270415289303,-0.16849297496355317,C
0.013324462836988014,-0.16849297496355317,C
0.022769146150057346,-0.16849297496355317,C
0.022769146150057346,-0.15904829165048384,C
0.032213829463126675,-0.15904829165048384,C
0.051103196089265335,-0.15904829165048384,C
0.060547879402334664,-0.15904829165048384,C
0.013324462836988014,-0.1496036083374145,C
0.051103196089265335,-0.1496036083374145,C
0.060547879402334664,-0.1496036083374145,C
-0.05278832035449729,-0.14015892502434518,C
-0.05278832035449729,-0.13071424171127585,C
0.10777129596768131,-0.13071424171127585,C
0.10777129596768131,-0.10238019177206785,C
0.11721597928075064,-0.10238019177206785,C
0.11721597928075064,-0.06460145851979053,C
0.10777129596768131,-0.0551567752067212,C
0.11721597928075064,-0.0551567752067212,C
0.09832661265461198,-0.03626740858058254,C
0.08888192934154265,-0.02682272526751321,C
0.07943724602847332,-0.017378041954443882,C
0.08888192934154265,-0.017378041954443882,C
0.08888192934154265,-0.007933358641374554,C
0.013324462836988014,0.010956007984764106,C
0.032213829463126675,0.020400691297833437,C
0.041658512776196005,0.020400691297833437,C
-0.015009587102219975,-0.1779376582766225,D
0.022769146150057346,-0.1779376582766225,D
0.032213829463126675,-0.16849297496355317,D
0.041658512776196005,-0.16849297496355317,D
0.051103196089265335,-0.16849297496355317,D
0.069992562715404,-0.16849297496355317,D
-0.04334363704142796,-0.15904829165048384,D
0.07943724602847332,-0.15904829165048384,D
0.022769146150057346,-0.1496036083374145,D
0.0038797795239186843,-0.14015892502434518,D
0.032213829463126675,-0.14015892502434518,D
0.060547879402334664,-0.14015892502434518,D
0.10777129596768131,-0.14015892502434518,D
-0.06223300366756662,-0.13071424171127585,D
-0.005564903789150645,-0.13071424171127585,D
0.013324462836988014,-0.13071424171127585,D
0.032213829463126675,-0.13071424171127585,D
0.041658512776196005,-0.13071424171127585,D
0.051103196089265335,-0.13071424171127585,D
0.060547879402334664,-0.13071424171127585,D
0.11721597928075064,-0.13071424171127585,D
-0.06223300366756662,-0.12126955839820651,D
-0.015009587102219975,-0.12126955839820651,D
-0.005564903789150645,-0.12126955839820651,D
0.07943724602847332,-0.12126955839820651,D
0.08888192934154265,-0.12126955839820651,D
-0.03389895372835863,-0.11182487508513718,D
-0.024454270415289303,-0.11182487508513718,D
0.08888192934154265,-0.11182487508513718,D
-0.06223300366756662,-0.10238019177206785,D
